"Time (UTCG)","x (m)","y (m)","z (m)","vx (m/sec)","vy (m/sec)","vz (m/sec)"
1 Jan 2000 12:00:00.000,5531545.554,1583557.226,3289036.999,-3363.991608,-2095.468447,6666.500568
1 Jan 2000 12:00:10.000,5497572.976,1562536.312,3355381.699,-3439.391190,-2116.985010,6621.073875
1 Jan 2000 12:00:20.000,5462849.849,1541301.903,3421268.254,-3514.321062,-2138.212841,6574.743143
1 Jan 2000 12:00:30.000,5427380.916,1519856.894,3486687.670,-3588.770993,-2159.149039,6527.514700
1 Jan 2000 12:00:40.000,5391171.022,1498204.210,3551631.013,-3662.730815,-2179.790742,6479.394996
1 Jan 2000 12:00:50.000,5354225.111,1476346.805,3616089.417,-3736.190429,-2200.135129,6430.390603
1 Jan 2000 12:01:00.000,5316548.228,1454287.659,3680054.081,-3809.139801,-2220.179420,6380.508216
1 Jan 2000 12:01:10.000,5278145.520,1432029.783,3743516.271,-3881.568971,-2239.920874,6329.754648
1 Jan 2000 12:01:20.000,5239022.231,1409576.211,3806467.321,-3953.468048,-2259.356793,6278.136830
1 Jan 2000 12:01:30.000,5199183.703,1386930.007,3868898.637,-4024.827212,-2278.484521,6225.661814
1 Jan 2000 12:01:40.000,5158635.378,1364094.260,3930801.695,-4095.636721,-2297.301443,6172.336767
1 Jan 2000 12:01:50.000,5117382.792,1341072.084,3992168.043,-4165.886903,-2315.804986,6118.168973
1 Jan 2000 12:02:00.000,5075431.580,1317866.620,4052989.301,-4235.568167,-2333.992622,6063.165831
1 Jan 2000 12:02:10.000,5032787.471,1294481.035,4113257.166,-4304.670996,-2351.861864,6007.334854
1 Jan 2000 12:02:20.000,4989456.288,1270918.517,4172963.409,-4373.185956,-2369.410269,5950.683668
1 Jan 2000 12:02:30.000,4945443.949,1247182.282,4232099.878,-4441.103690,-2386.635439,5893.220012
1 Jan 2000 12:02:40.000,4900756.465,1223275.568,4290658.498,-4508.414923,-2403.535018,5834.951735
1 Jan 2000 12:02:50.000,4855399.937,1199201.635,4348631.276,-4575.110466,-2420.106697,5775.886797
1 Jan 2000 12:03:00.000,4809380.561,1174963.768,4406010.295,-4641.181211,-2436.348210,5716.033264
1 Jan 2000 12:03:10.000,4762704.621,1150565.275,4462787.721,-4706.618136,-2452.257336,5655.399314
1 Jan 2000 12:03:20.000,4715378.491,1126009.483,4518955.803,-4771.412306,-2467.831900,5593.993229
1 Jan 2000 12:03:30.000,4667408.635,1101299.743,4574506.872,-4835.554875,-2483.069772,5531.823396
1 Jan 2000 12:03:40.000,4618801.603,1076439.426,4629433.344,-4899.037084,-2497.968870,5468.898309
1 Jan 2000 12:03:50.000,4569564.032,1051431.924,4683727.719,-4961.850266,-2512.527157,5405.226562
1 Jan 2000 12:04:00.000,4519702.648,1026280.648,4737382.585,-5023.985844,-2526.742641,5340.816853
1 Jan 2000 12:04:10.000,4469224.259,1000989.031,4790390.617,-5085.435336,-2540.613379,5275.677981
1 Jan 2000 12:04:20.000,4418135.759,975560.523,4842744.577,-5146.190350,-2554.137474,5209.818843
