"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (m)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (m/sec)"
1 Jan 2000 12:00:00.000,29.9115757544,95.5153896281,254622.3589357666,0.066602,-0.015017,21.401201
1 Jan 2000 12:00:10.000,30.5775028863,95.3644876988,254837.8324786107,0.066584,-0.015164,21.691527
1 Jan 2000 12:00:20.000,31.2432502691,95.2120912673,255056.1496169993,0.066566,-0.015316,21.969895
1 Jan 2000 12:00:30.000,31.9088130699,95.0581393324,255277.1900301318,0.066547,-0.015475,22.236158
1 Jan 2000 12:00:40.000,32.5741863482,94.9025683478,255500.8319689923,0.066528,-0.015640,22.490177
1 Jan 2000 12:00:50.000,33.2393650480,94.7453120709,255726.9523247269,0.066508,-0.015812,22.731820
1 Jan 2000 12:01:00.000,33.9043439874,94.5863013996,255955.4266976755,0.066488,-0.015991,22.960961
1 Jan 2000 12:01:10.000,34.5691178485,94.4254641987,256186.1294670730,0.066467,-0.016178,23.177480
1 Jan 2000 12:01:20.000,35.2336811663,94.2627251141,256418.9338613155,0.066446,-0.016372,23.381268
1 Jan 2000 12:01:30.000,35.8980283166,94.0980053736,256653.7120288008,0.066424,-0.016574,23.572218
1 Jan 2000 12:01:40.000,36.5621535030,93.9312225737,256890.3351092628,0.066401,-0.016784,23.750235
1 Jan 2000 12:01:50.000,37.2260507430,93.7622904508,257128.6733055806,0.066378,-0.017004,23.915227
1 Jan 2000 12:02:00.000,37.8897138529,93.5911186355,257368.5959560191,0.066354,-0.017232,24.067112
1 Jan 2000 12:02:10.000,38.5531364315,93.4176123887,257609.9716068472,0.066330,-0.017471,24.205815
1 Jan 2000 12:02:20.000,39.2163118428,93.2416723183,257852.6680853098,0.066305,-0.017719,24.331267
1 Jan 2000 12:02:30.000,39.8792331967,93.0631940727,258096.5525728759,0.066279,-0.017978,24.443407
1 Jan 2000 12:02:40.000,40.5418933287,92.8820680129,258341.4916787765,0.066253,-0.018249,24.542182
1 Jan 2000 12:02:50.000,41.2042847779,92.6981788563,258587.3515137338,0.066225,-0.018531,24.627546
1 Jan 2000 12:03:00.000,41.8663997625,92.5114052947,258833.9977638811,0.066197,-0.018826,24.699459
