"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (m)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (m/sec)"
1 Jan 2000 12:00:00.000,29.9115757544,95.5153896281,254622.3589357695,0.066602,-0.015017,21.401201
1 Jan 2000 12:00:10.000,30.5765615409,95.3647657708,254837.5258751148,0.066584,-0.015164,21.691131
1 Jan 2000 12:00:20.000,31.2413680930,95.2126517190,255055.5286702543,0.066566,-0.015316,21.969138
1 Jan 2000 12:00:30.000,31.9059905983,95.0589867348,255276.2475129908,0.066547,-0.015474,22.235074
1 Jan 2000 12:00:40.000,32.5704241377,94.9037075505,255499.5611747378,0.066528,-0.015639,22.488801
1 Jan 2000 12:00:50.000,33.2346636770,94.7467482177,255725.3470744144,0.066508,-0.015811,22.730187
1 Jan 2000 12:01:00.000,33.8987040571,94.5880399457,255953.4813470089,0.066488,-0.015990,22.959108
1 Jan 2000 12:01:10.000,34.5625399838,94.4275109292,256183.8389127501,0.066467,-0.016176,23.175444
1 Jan 2000 12:01:20.000,35.2261660165,94.2650861635,256416.2935469057,0.066446,-0.016369,23.379084
1 Jan 2000 12:01:30.000,35.8895765566,94.1006872473,256650.7179500976,0.066424,-0.016571,23.569926
1 Jan 2000 12:01:40.000,36.5527658344,93.9342321711,256886.9838191357,0.066402,-0.016781,23.747871
1 Jan 2000 12:01:50.000,37.2157278952,93.7656350898,257124.9619183289,0.066378,-0.017000,23.912830
1 Jan 2000 12:02:00.000,37.8784565845,93.5948060795,257364.5221511808,0.066355,-0.017228,24.064720
1 Jan 2000 12:02:10.000,38.5409455320,93.4216508755,257605.5336325222,0.066330,-0.017466,24.203466
1 Jan 2000 12:02:20.000,39.2031881339,93.2460705910,257847.8647609421,0.066305,-0.017714,24.329000
1 Jan 2000 12:02:30.000,39.8651775344,93.0679614139,258091.3832915278,0.066280,-0.017973,24.441261
1 Jan 2000 12:02:40.000,40.5269066051,92.8872142809,258335.9564088719,0.066253,-0.018243,24.540195
1 Jan 2000 12:02:50.000,41.1883679232,92.7037145252,258581.4508002852,0.066226,-0.018524,24.625757
1 Jan 2000 12:03:00.000,41.8495537479,92.5173414969,258827.7327291811,0.066198,-0.018818,24.697907
1 Jan 2000 12:03:10.000,42.5104559944,92.3279681524,259074.6681086060,0.066169,-0.019125,24.756615
1 Jan 2000 12:03:20.000,43.1710662061,92.1354606108,259322.1225748404,0.066140,-0.019446,24.801856
1 Jan 2000 12:03:30.000,43.8313755241,91.9396776735,259569.9615610772,0.066109,-0.019781,24.833614
1 Jan 2000 12:03:40.000,44.4913746548,91.7404703034,259818.0503710828,0.066078,-0.020132,24.851878
1 Jan 2000 12:03:50.000,45.1510538337,91.5376810598,260066.2542528345,0.066045,-0.020499,24.856649
1 Jan 2000 12:04:00.000,45.8104027867,91.3311434855,260314.4384720975,0.066011,-0.020883,24.847930
1 Jan 2000 12:04:10.000,46.4694106876,91.1206814395,260562.4683858902,0.065977,-0.021285,24.825734
1 Jan 2000 12:04:20.000,47.1280661121,90.9061083711,260810.2095157681,0.065941,-0.021706,24.790083
1 Jan 2000 12:04:30.000,47.7863569873,90.6872265290,261057.5276209471,0.065904,-0.022148,24.741003
1 Jan 2000 12:04:40.000,48.4442705364,90.4638260979,261304.2887711942,0.065865,-0.022612,24.678529
1 Jan 2000 12:04:50.000,49.1017932185,90.2356842562,261550.3594194247,0.065825,-0.023098,24.602703
1 Jan 2000 12:05:00.000,49.7589106627,90.0025641449,261795.6064740235,0.065784,-0.023609,24.513574
1 Jan 2000 12:05:10.000,50.4156075954,89.7642137385,262039.8973707815,0.065741,-0.024146,24.411198
1 Jan 2000 12:05:20.000,51.0718677605,89.5203646076,262283.1001444870,0.065696,-0.024711,24.295640
1 Jan 2000 12:05:30.000,51.7276738324,89.2707305592,262525.0835000665,0.065650,-0.025305,24.166970
1 Jan 2000 12:05:40.000,52.3830073189,89.0150061434,262765.7168832774,0.065602,-0.025931,24.025266
1 Jan 2000 12:05:50.000,53.0378484552,88.7528650082,263004.8705508995,0.065551,-0.026590,23.870611
1 Jan 2000 12:06:00.000,53.6921760860,88.4839580863,263242.4156404099,0.065499,-0.027286,23.703099
1 Jan 2000 12:06:10.000,54.3459675357,88.2079115930,263478.2242390667,0.065444,-0.028021,23.522827
1 Jan 2000 12:06:20.000,54.9991984639,87.9243248125,263712.1694524101,0.065387,-0.028797,23.329901
1 Jan 2000 12:06:30.000,55.6518427055,87.6327676468,263944.1254721107,0.065327,-0.029618,23.124433
1 Jan 2000 12:06:40.000,56.3038720927,87.3327778966,264173.9676431580,0.065263,-0.030486,22.906542
1 Jan 2000 12:06:50.000,56.9552562563,87.0238582411,264401.5725303462,0.065197,-0.031407,22.676353
1 Jan 2000 12:07:00.000,57.6059624050,86.7054728770,264626.8179840008,0.065128,-0.032383,22.433998
1 Jan 2000 12:07:10.000,58.2559550772,86.3770437730,264849.5832049542,0.065054,-0.033419,22.179616
1 Jan 2000 12:07:20.000,58.9051958642,86.0379464877,265069.7488087110,0.064977,-0.034520,21.913352
